unitdid,opeid,Graduation_Rate,GR_Group_Low,GR_Group_LowToMedium,GR_Group_MediumToHigh,GR_Group_High,School_CDR,National_Average_CDR,Median_Total_Borrowing,Median_Monthly_Payment,Institution_Group
232919,02320900,86,0,62.5,77.6,100,58.4,13.4,9500,109.33,5
232937,00376500,33.2,0,37.3,56.7,100,14.2,13.4,20625,237.35,1
232946,00372701,17.7,0,17.7,32.2,100,12.3,13.4,7667,88.23,2
232982,00372800,50,0,37.3,56.7,100,4.6,13.4,18751,215.79,1
233019,00375100,24.1,0,17.7,32.2,100,0,13.4,,,2
233037,00915900,26.4,0,17.7,32.2,100,0,13.4,,,2
233082,01274400,-2,0,24.1,50.1,100,5.9,13.4,11320,130.27,3
233091,00499200,64.1,0,17.7,32.2,100,20.2,13.4,9500,109.33,2
233116,00992800,18.2,0,17.7,32.2,100,12.4,13.4,5000,57.54,2
233277,00373200,55.8,0,37.3,56.7,100,5.1,13.4,16625,191.32,1
233286,01159600,58.3,0,62.5,77.6,100,16.6,13.4,8500,97.82,5
233295,00373300,60,0,37.3,56.7,100,3.6,13.4,23000,264.68,1
233301,00373400,63,0,37.3,56.7,100,4.8,13.4,23000,264.68,1
233310,00916000,24.1,0,24.1,50.1,100,0,13.4,,,3
233329,02342700,65.1,0,24.1,50.1,100,8.7,13.4,9000,103.57,3
233338,00370700,20.8,0,17.7,32.2,100,26.2,13.4,5500,63.29,2
233356,01004300,100,0,24.1,50.1,100,6,13.4,21896,251.98,3
233374,00374400,82.7,0,37.3,56.7,100,2.2,13.4,19000,218.65,1
233408,02140000,71,0,62.5,77.6,100,10.2,13.4,11583,133.3,5
233426,00373600,68.7,0,37.3,56.7,100,4.4,13.4,22500,258.93,1
233480,02358500,-2,0,62.5,77.6,100,0,13.4,,,5
233499,00373900,20.9,0,37.3,56.7,100,32.6,13.4,15937,183.4,1
233541,00373700,44.6,0,37.3,56.7,100,5.4,13.4,25000,287.7,1
233611,00373800,25.1,0,37.3,56.7,100,4.4,13.4,12000,138.1,1
233639,00866100,26.5,0,24.1,50.1,100,0,13.4,,,3
233648,00726000,35,0,24.1,50.1,100,0,13.4,,,3
233657,03096500,76.4,0,62.5,77.6,100,16.1,13.4,4788,55.1,5
233666,00953500,67.9,0,62.5,77.6,100,14.2,13.4,7511,86.44,5
233684,00145901,23.8,0,37.3,56.7,100,13.9,13.4,12000,138.1,1
233718,00374200,69.6,0,37.3,56.7,100,3.8,13.4,31184,358.87,1
233754,00687100,10.7,0,17.7,32.2,100,16.8,13.4,5500,63.29,2
233772,00371200,13.3,0,17.7,32.2,100,16.7,13.4,5500,63.29,2
233842,00374300,-2,0,0,0,0,6.2,13.4,,,4
233897,00374700,38.8,0,37.3,56.7,100,11.3,13.4,10944,125.94,1
233903,00709900,18.3,0,24.1,50.1,100,0,13.4,,,3
233912,00375200,26.2,0,37.3,56.7,100,11.9,13.4,16593,190.95,1
233921,00375400,81.7,0,37.3,56.7,100,1.8,13.4,21125,243.11,1
233949,00376000,20.4,0,17.7,32.2,100,18.9,13.4,6501,74.81,2
234030,00373500,53.1,0,37.3,56.7,100,5,13.4,18149,208.86,1
234076,00374500,93.9,0,37.3,56.7,100,2.3,13.4,17500,201.39,1
234085,00375300,69.4,0,37.3,56.7,100,2.6,13.4,18500,212.9,1
234119,00953700,65.9,0,62.5,77.6,100,0,13.4,,,5
234137,00376200,100,0,37.3,56.7,100,2.7,13.4,12279,141.31,1
234155,00376400,39.7,0,37.3,56.7,100,18.3,13.4,18750,215.78,1
234164,00376600,29.2,0,37.3,56.7,100,17.7,13.4,18145,208.81,1
234173,00376700,48.3,0,37.3,56.7,100,9.9,13.4,20600,237.07,1
234191,02108800,15.5,0,62.5,77.6,100,18.2,13.4,9500,109.33,5
234207,00376800,90.9,0,37.3,56.7,100,2.9,13.4,25000,287.7,1
234216,00942000,31.5,0,17.7,32.2,100,31.5,13.4,19857,228.52,2
234225,02610100,72.2,0,62.5,77.6,100,,13.4,,,5
234359,02197600,74,0,62.5,77.6,100,,13.4,,,5
234377,00376100,36.2,0,24.1,50.1,100,3.3,13.4,2269,26.11,3
234401,02504900,92.3,0,62.5,77.6,100,21.4,13.4,9595,110.42,5
234492,02291300,34,0,17.7,32.2,100,14.6,13.4,19917,229.21,2
234650,02105300,83.7,0,62.5,77.6,100,0,13.4,8227,94.68,5
234669,00376900,29,0,17.7,32.2,100,10.1,13.4,8624,99.25,2
234687,01309400,84,0,62.5,77.6,100,12.5,13.4,6860,78.95,5
234696,00499900,49.6,0,24.1,50.1,100,14.2,13.4,9501,109.34,3
234711,00377000,29.9,0,17.7,32.2,100,17.7,13.4,7512,86.45,2
234739,02300100,64.4,0,24.1,50.1,100,25,13.4,9500,109.33,3
234784,02606200,67.4,0,62.5,77.6,100,37,13.4,9500,109.33,5
234827,00377100,55.9,0,37.3,56.7,100,4.6,13.4,16837,193.76,1
234845,00377200,33.9,0,17.7,32.2,100,0,13.4,,,2
234915,01302200,12.5,0,37.3,56.7,100,6,13.4,20365,234.36,1
234924,03065000,74.2,0,62.5,77.6,100,0,13.4,9500,109.33,5
234933,00377300,28.4,0,17.7,32.2,100,16.3,13.4,6333,72.88,2
234951,00575200,32,0,24.1,50.1,100,20.7,13.4,9500,109.33,3
234979,00377400,29.7,0,17.7,32.2,100,13.2,13.4,7250,83.43,2
235024,01231500,45.4,0,37.3,56.7,100,13,13.4,29500,339.49,1
235088,01148100,89.9,0,62.5,77.6,100,14.4,13.4,9500,109.33,5
235097,00377500,46.2,0,37.3,56.7,100,7.2,13.4,15500,178.37,1
235103,00500100,27.4,0,24.1,50.1,100,19.5,13.4,7125,81.99,3
235149,00377600,25.7,0,17.7,32.2,100,20,13.4,5913,68.05,2
235158,02184200,75.8,0,62.5,77.6,100,20,13.4,7389,85.03,5
235167,00815500,54.2,0,37.3,56.7,100,9.3,13.4,14000,161.11,1
235237,00500000,22.7,0,17.7,32.2,100,12.7,13.4,7500,86.31,2
235307,00973900,88.8,0,62.5,77.6,100,18.7,13.4,7125,81.99,5
235316,00377800,82.9,0,37.3,56.7,100,4,13.4,23000,264.68,1
235334,00377900,29.9,0,24.1,50.1,100,20.1,13.4,6590,75.84,3
235343,00378000,30.5,0,24.1,50.1,100,16.4,13.4,6500,74.8,3
235352,01249600,76.3,0,62.5,77.6,100,21.8,13.4,11667,134.26,5
235422,00377700,12.3,0,37.3,56.7,100,13.6,13.4,15625,179.81,1
235431,00378100,28.4,0,17.7,32.2,100,17,13.4,6508,74.89,2
235495,02326500,-2,0,24.1,50.1,100,19.2,13.4,9500,109.33,3
235501,02222900,85.8,0,62.5,77.6,100,21.9,13.4,7600,87.46,5
235510,03071805,24.4,0,17.7,32.2,100,28,13.4,9500,109.33,2
235529,03071800,30.4,0,17.7,32.2,100,28,13.4,9500,109.33,2
235547,02242500,-2,0,37.3,56.7,100,0.6,13.4,21197,243.94,1
235583,02203300,65.9,0,62.5,77.6,100,20.9,13.4,10555,121.47,5
235671,00530600,43.1,0,24.1,50.1,100,24.6,13.4,5195,59.78,3
235699,00537300,21,0,24.1,50.1,100,16.7,13.4,9949,114.49,3
235750,00378200,32.7,0,24.1,50.1,100,27.9,13.4,6334,72.89,3
235769,02106700,73.9,0,37.3,56.7,100,15.3,13.4,15750,181.25,1
235954,04130800,81.1,0,62.5,77.6,100,75,13.4,3625,41.72,5
236018,02541900,69.3,0,62.5,77.6,100,32.6,13.4,7316,84.19,5
236027,02331400,79.9,0,62.5,77.6,100,21.6,13.4,9500,109.33,5
236072,00970400,28.9,0,17.7,32.2,100,0,13.4,1343,15.46,2
236133,00378300,49.5,0,37.3,56.7,100,3.4,13.4,19000,218.65,1
236188,00378400,29.8,0,24.1,50.1,100,15.3,13.4,8000,92.06,3
236212,00938700,78.3,0,62.5,77.6,100,12.6,13.4,14789,170.19,5
236230,00378500,66.4,0,37.3,56.7,100,2.9,13.4,24000,276.19,1
236258,00378600,27.6,0,24.1,50.1,100,15.4,13.4,7500,86.31,3
236328,00379700,73.2,0,37.3,56.7,100,1.1,13.4,23000,264.68,1
236382,01043400,61.8,0,24.1,50.1,100,14.2,13.4,5500,63.29,3
236452,00379400,48.3,0,37.3,56.7,100,6.2,13.4,19839,228.31,1
236504,00970600,19.7,0,24.1,50.1,100,0,13.4,,,3
236513,00378700,32.5,0,17.7,32.2,100,0,13.4,8267,95.14,2
236531,02617500,64.8,0,62.5,77.6,100,21.7,13.4,9500,109.33,5
236577,00378800,74.1,0,37.3,56.7,100,2.4,13.4,20656,237.71,1
236595,00379000,70.6,0,37.3,56.7,100,2.3,13.4,23000,264.68,1
236610,00379100,37,0,17.7,32.2,100,10.5,13.4,8470,97.47,2
236638,00379200,21.6,0,17.7,32.2,100,16.8,13.4,9500,109.33,2
