ZIP,BAH,Terroritory,MHA
08805,1989,,NJ201
08807,1989,,NJ201
08808,2256,,NJ202
08809,1494,,NJ203
08810,1989,,NJ201
08812,1989,,NJ201
08816,1989,,NJ201
08817,1989,,NJ201
08818,1989,,NJ201
08820,1989,,NJ201
08821,1989,,NJ201
08822,1494,,NJ203
08823,1989,,NJ201
08824,1989,,NJ201
08825,1494,,NJ203
08826,1494,,NJ203
08827,1494,,NJ203
08828,1989,,NJ201
08829,1494,,NJ203
08830,1989,,NJ201
08831,1989,,NJ201
08832,1989,,NJ201
08833,1494,,NJ203
08834,1494,,NJ203
08835,1989,,NJ201
08836,1989,,NJ201
08837,1989,,NJ201
08840,1989,,NJ201
08844,1989,,NJ201
08846,1989,,NJ201
08848,1494,,NJ203
08850,1989,,NJ201
08852,1989,,NJ201
08853,1989,,NJ201
08854,1989,,NJ201
08855,1989,,NJ201
08857,1989,,NJ201
08858,1494,,NJ203
08859,1989,,NJ201
08861,1989,,NJ201
08862,1989,,NJ201
08863,1989,,NJ201
08865,2256,,NJ202
08867,1494,,NJ203
08868,1494,,NJ203
08869,1989,,NJ201
08870,1494,,NJ203
08871,1989,,NJ201
08872,1989,,NJ201
08873,1989,,NJ201
08875,1989,,NJ201
08876,1989,,NJ201
08879,1989,,NJ201
08880,1989,,NJ201
08882,1989,,NJ201
08884,1989,,NJ201
08885,1494,,NJ203
08886,2256,,NJ202
08887,1494,,NJ203
08888,1494,,NJ203
08889,1494,,NJ203
08890,1989,,NJ201
08899,1989,,NJ201
08901,1989,,NJ201
08902,1989,,NJ201
08903,1989,,NJ201
08904,1989,,NJ201
08906,1989,,NJ201
08933,1989,,NJ201
08989,1989,,NJ201
10001,3258,,NY219
10002,3258,,NY219
10003,3258,,NY219
10004,3258,,NY219
10005,3258,,NY219
10006,3258,,NY219
10007,3258,,NY219
10008,3258,,NY219
10009,3258,,NY219
10010,3258,,NY219
10011,3258,,NY219
10012,3258,,NY219
10013,3258,,NY219
10014,3258,,NY219
10016,3258,,NY219
10017,3258,,NY219
10018,3258,,NY219
10019,3258,,NY219
10020,3258,,NY219
10021,3258,,NY219
10022,3258,,NY219
10023,3258,,NY219
10024,3258,,NY219
10025,3258,,NY219
10026,3258,,NY219
10027,3258,,NY219
10028,3258,,NY219
10029,3258,,NY219
10030,3258,,NY219
10031,3258,,NY219
10032,3258,,NY219
10033,3258,,NY219
10034,3258,,NY219
10035,3258,,NY219
10036,3258,,NY219
10037,3258,,NY219
10038,3258,,NY219
10039,3258,,NY219
10040,3258,,NY219
10041,3258,,NY219
10043,3258,,NY219
10044,3258,,NY219
10045,3258,,NY219
10055,3258,,NY219
10060,3258,,NY219
10065,3258,,NY219
10069,3258,,NY219
10075,3258,,NY219
10080,3258,,NY219
10081,3258,,NY219
10087,3258,,NY219
10090,3258,,NY219
10095,3258,,NY219
10101,3258,,NY219
10102,3258,,NY219
10103,3258,,NY219
10104,3258,,NY219
10105,3258,,NY219
10106,3258,,NY219
10107,3258,,NY219
10108,3258,,NY219
10109,3258,,NY219
10110,3258,,NY219
10111,3258,,NY219
10112,3258,,NY219
10113,3258,,NY219
10114,3258,,NY219
10115,3258,,NY219
10116,3258,,NY219
10117,3258,,NY219
10118,3258,,NY219
10119,3258,,NY219
10120,3258,,NY219
10121,3258,,NY219
10122,3258,,NY219
10123,3258,,NY219
10124,3258,,NY219
10125,3258,,NY219
10126,3258,,NY219
10128,3258,,NY219
10129,3258,,NY219
10130,3258,,NY219
10131,3258,,NY219
10132,3258,,NY219
10133,3258,,NY219
10138,3258,,NY219
10150,3258,,NY219
10151,3258,,NY219
10152,3258,,NY219
10153,3258,,NY219
10154,3258,,NY219
10155,3258,,NY219
10156,3258,,NY219
10157,3258,,NY219
10158,3258,,NY219
10159,3258,,NY219
10160,3258,,NY219
10161,3258,,NY219
10162,3258,,NY219
10163,3258,,NY219
10164,3258,,NY219
10165,3258,,NY219
10166,3258,,NY219
10167,3258,,NY219
10168,3258,,NY219
10169,3258,,NY219
10170,3258,,NY219
10171,3258,,NY219
10172,3258,,NY219
10173,3258,,NY219
10174,3258,,NY219
10175,3258,,NY219
10176,3258,,NY219
10177,3258,,NY219
10178,3258,,NY219
10179,3258,,NY219
10185,3258,,NY219
10199,3258,,NY219
10203,3258,,NY219
10211,3258,,NY219
10212,3258,,NY219
10213,3258,,NY219
10242,3258,,NY219
10249,3258,,NY219
10256,3258,,NY219
10257,3258,,NY219
10258,3258,,NY219
10259,3258,,NY219
10260,3258,,NY219
10261,3258,,NY219
10265,3258,,NY219
10268,3258,,NY219
10269,3258,,NY219
10270,3258,,NY219
10271,3258,,NY219
10272,3258,,NY219
10273,3258,,NY219
10274,3258,,NY219
10275,3258,,NY219
10276,3258,,NY219
10277,3258,,NY219
10278,3258,,NY219
10279,3258,,NY219
10280,3258,,NY219
10281,3258,,NY219
10282,3258,,NY219
10285,3258,,NY219
10286,3258,,NY219
10292,3258,,NY219
10301,2085,,NY413
10302,2085,,NY413
10303,2085,,NY413
10304,2085,,NY413
10305,2085,,NY413
10306,2085,,NY413
10307,2085,,NY413
10308,2085,,NY413
10309,2085,,NY413
10310,2085,,NY413
10311,2085,,NY413
10312,2085,,NY413
10313,2085,,NY413
10314,2085,,NY413
10451,3258,,NY219
10452,3258,,NY219
10453,3258,,NY219
10454,3258,,NY219
10455,3258,,NY219
10456,3258,,NY219
10457,3258,,NY219
10458,3258,,NY219
10459,3258,,NY219
10460,3258,,NY219
10461,3258,,NY219
10462,3258,,NY219
10463,3258,,NY219
10464,3258,,NY219
10465,3258,,NY219
10466,3258,,NY219
10467,3258,,NY219
10468,3258,,NY219
10469,3258,,NY219
10470,3258,,NY219
10471,3258,,NY219
10472,3258,,NY219
10473,3258,,NY219
10474,3258,,NY219
10475,3258,,NY219
10499,3258,,NY219
10501,2490,,NY349
10502,2490,,NY349
10503,2490,,NY349
10504,2490,,NY349
10505,2490,,NY349
10506,2490,,NY349
10507,2490,,NY349
10509,2490,,NY349
10510,2490,,NY349
10511,2490,,NY349
10512,2490,,NY349
10514,2490,,NY349
10516,2490,,NY349
10517,2490,,NY349
10518,2490,,NY349
10519,2490,,NY349
10520,2490,,NY349
10521,2490,,NY349
10522,2490,,NY349
10523,2490,,NY349
10524,2490,,NY349
10526,2490,,NY349
10527,2490,,NY349
10528,2490,,NY349
10530,2490,,NY349
10532,2490,,NY349
10533,2490,,NY349
10535,2490,,NY349
